acType,acClass,EngNumb-FAAWeightClass,ICAO WTC,RECAT 1.5 Wake Category,SRS,LAHSO,NumbEngines,EngType,WTClass
BFIT,Fixed-wing,1P/S,Light,F,I,,1,P,S
BILO,Fixed-wing,1P/S,Light,F,I,,1,P,S
BIPL,Fixed-wing,1P/S,Light,F,I,,1,P,S
BIRD,Fixed-wing,1P/S,Light,F,I,,1,P,S
BISC,Fixed-wing,1P/S,Light,F,I,,1,P,S
BK17,Helicopter,2T/S,Light,F,I,,2,T,S
BKUT,Fixed-wing,1P/S,Light,F,I,,1,P,S
BL11,Fixed-wing,1P/S,Light,F,I,,1,P,S
BL17,Fixed-wing,1P/S,Light,F,I,1,1,P,S
BL19,Fixed-wing,1P/S,Light,F,I,,1,P,S
BL8,Fixed-wing,1P/S,Light,F,I,2,1,P,S
BLBU,Fixed-wing,1P/S,Light,F,I,,1,P,S
BLCF,Fixed-wing,4J/H,Heavy,B,III,,4,J,H
BLEN,Fixed-wing,2P/S+,Light,F,III,,2,P,S+
BLKS,Fixed-wing,1P/S,Light,F,I,,1,P,S
BM6,Fixed-wing,1P/S,Light,F,I,,1,P,S
BMAN,Fixed-wing,1P/S,Light,F,I,,1,P,S
BN2P,Fixed-wing,2P/S,Light,F,II,1,2,P,S
BN2T,Fixed-wing,2T/S,Light,F,II,1,2,T,S
BOLT,Fixed-wing,1P/S,Light,F,I,,1,P,S
BOOM,Fixed-wing,2P/S,Light,F,II,,2,P,S
BPAT,Fixed-wing,1P/S,Light,F,I,,1,P,S
BPOD,Fixed-wing,4E/S,Light,F,III,,4,E,S
BR14,Fixed-wing,1P/S,Light,F,I,,1,P,S
BR54,Gyrocopter,1P/S,Light,F,I,,1,P,S
BR60,Fixed-wing,1P/S,Light,F,I,,1,P,S
BR61,Fixed-wing,1P/S,Light,F,I,,1,P,S
BRAV,Fixed-wing,1P/S,Light,F,I,,1,P,S
BRB2,Helicopter,1P/S,Light,F,I,,1,P,S
BREZ,Fixed-wing,1P/S,Light,F,I,,1,P,S
BROU,Fixed-wing,1P/S,Light,F,I,,1,P,S
BS60,Fixed-wing,2T/S,Light,F,II,,2,T,S
BSCA,Fixed-wing,4J/H,Heavy,B,III,,4,J,H
BSTP,Helicopter,2T/S+,Medium,F,I,,2,T,S+
BSTR,Fixed-wing,1P/S,Light,F,I,,1,P,S
BT36,Fixed-wing,1P/S,Light,F,I,,1,P,S
BTUB,Fixed-wing,1P/S,Light,F,I,,1,P,S
BU20,Fixed-wing,3P/S,Light,F,III,2,3,P,S
BU31,Fixed-wing,1P/S,Light,F,I,,1,P,S
BU33,Fixed-wing,1P/S,Light,F,I,,1,P,S
BU81,Fixed-wing,1P/S,Light,F,I,,1,P,S
BUC,Fixed-wing,2J/L,Medium,E,III,,2,J,L
BUCA,@Fixed-wing,1P/S,Light,F,I,,1,P,S
BULT,Fixed-wing,1P/S,Light,F,I,,1,P,S
BX2,Fixed-wing,1P/S,Light,F,I,,1,P,S
C02T,Fixed-wing,2T/S,Light,F,II,6,2,T,S
